doc_id,filename,law_type,source,description,notes,batch
traffic_001,traffic_001.pdf,traffic,SINDH ACT NO. XIII OF 2014,"to amend the Provincial Motor Vehicles Ordinance, 1965",Uploaded by user,0
traffic_002,traffic_002.pdf,traffic,"THE PROVINCIAL MOTOR VEHICLES ORDINANCE (10th July, 1965)",to amend and consolidate the law relating to Motor Vehicles in the Province of West Pakistan,Uploaded by user,0
traffic_003,traffic_003.pdf,traffic,"THE PROVINCIAL MOTOR VEHICLES (AMENDMENT) ACT, 2024 and SINDH ACT NO. I OF 2025","to amend the Provincial Motor Vehicles Ordinance, 1965",Uploaded by user,0
traffic_004,traffic_004.pdf,traffic,"WEST PAKISTAN ORDINANCE No. XIX OF 1965 (8th June, 1965)",to amend and consolidate the law relating to Motor Vehicles in the Province of West Pakistan.,Uploaded by user,0
traffic_005,traffic_005.pdf,traffic,"THE TRAFFIC OFFENCES (SPECIAL COURTS) ORDINANCE, [29th December, 1981]",An Ordinance to constitute Special Courts for the speedy disposal of cases pertaining to traffic offences.,Uploaded by user,0
dv_001,dv_001.pdf,domestic_violence,"THE CONSTITUTION OF THE ISLAMIC REPUBLIC OF PAKISTAN (12th April, 1973)","to provide an updated version of the constitution, incorporates all amendments made in it till date.",Uploaded by user,0
dv_002,dv_002.pdf,domestic_violence,"Act No. XXXV OF 2020 [2rd September, 2020]","to promote, protect and effectively ensure the rights and inclusion of persons with disabilities in the communities in line with the Islamic injunctions and provisions of the constitution of the Islamic republic of Pakistan to advance efforts for recognition of their respect and dignity in the society.",Uploaded by user,0
dv_003,dv_003.pdf,domestic_violence,"THE CHILD MARRIAGE RESTRAINT ACT, 1929 [1st October, 1929]",An Act to restrain the solemnisation of child marriages,Uploaded by user,0
dv_004,dv_004.pdf,domestic_violence,Act No. XXI OF 2018,An Act to provide for the protection and care of children in the Islamabad Capital Territory,Uploaded by user,0
dv_005,dv_005.pdf,domestic_violence,"CHRISTIAN MARRIAGE ACT, 1872 (XV of 1872) [18th July, 1872]",to consolidate and amend the law relating to the solemnization of the marriage of Christians.,Uploaded by user,0
dv_006,dv_006.pdf,domestic_violence,Act No.X of 2016,"An Act further to amend the Pakistan Penal code, 1860 and the Code of Criminal Procedure, 1898",Uploaded by user,0
dv_007,dv_007.pdf,domestic_violence,"The Domestic Violence (Prevention and Protection) Act, 2013 and The Domestic Violence (Prevention and Protection) Rules, 2016",to make provisions for protection against domestic violence.,Uploaded by user,0
dv_008,dv_008.pdf,domestic_violence,"THE GUARDIANS AND WARDS ACT, 1890 [21st March, 1890]",An Act to consolidate and amend the law relating to Guardian and Ward.,Uploaded by user,0
dv_009,dv_009.pdf,domestic_violence,Act No. XXII OF 2018,An act to provide for criminal justice system for juveniles,Uploaded by user,0
dv_010,dv_010.pdf,domestic_violence,Act No. XVI OF 2020,An Act to provide for the establishment of a Legal Aid and Justice Authority,Uploaded by user,0
dv_011,dv_011.pdf,domestic_violence,"THE MUSLIM FAMILY LAWS ORDINANCE, 1961 [2nd March, 1961]",to give effect to certain recommendations of the Commission on Marriage and Family Laws,Uploaded by user,0
dv_012,dv_012.pdf,domestic_violence,"National Policy Framework on Human Rights, 2022-2027",Document on Human Rights for the people of Pakistan,Uploaded by user,0
dv_013,dv_013.pdf,domestic_violence,ACT NO. IX OF 2021,"to provide for the well-being, comfort and dignity of the senior citizens residing in the Islamabad Capital Territory",Uploaded by user,0
dv_014,dv_014.pdf,domestic_violence,"THE DISSOLUTION OF MUSLIM MARRIAGES ACT, 1939 [17th March, 1939]",An Act to consolidate and clarify the provisions of Muslim law relating to suits for dissolution of marriage by women married under Muslim law and to remove doubts as to the effect of the renunciation of Islam by a married Muslim woman on her marriage tie.,Uploaded by user,0
dv_015,dv_015.pdf,domestic_violence,"THE DOWRY AND BRIDAL GIFTS (RESTRICTION) ACT, 1976 [4th June, 1976]",An Act to provide for restrictions on dowry and bridal gifts,Uploaded by user,0
dv_016,dv_016.pdf,domestic_violence,"THE HINDU MARRIAGE ACT, 2017 - ACT NO VII OF 2017 [21st March, 2017]",An Act to provide for solemnization of marriages by Hindu families and for matters ancillary and incidental thereto,Uploaded by user,0
dv_017,dv_017.pdf,domestic_violence,ACT NO. II OF 2022,"An Act to amend the Islamabad Capital Territory Child Protection Act, 2018",Uploaded by user,0
dv_018,dv_018.pdf,domestic_violence,ACT NO. lll OF 2022,"An Act to amend the Juvenile Justice System Act, 2018",Uploaded by user,0
dv_019,dv_019.pdf,domestic_violence,ACT NO. I OF 2022,"An Act to amen the National Commission on the Rights of Child Act, 2017",Uploaded by user,0
dv_020,dv_020.pdf,domestic_violence,"W.P. ACT NO. XXXV OF 1964 [18th July, 1964]",An Act to make provision for the establishment of Family Courts.,Uploaded by user,0
dv_021,dv_021.pdf,domestic_violence,"ACT NO. V OF 2022 [24th January, 2022]","An Act to amend the Protection against Harassment of women at the Workplace Act, 2010",Uploaded by user,0
dv_022,dv_022.pdf,domestic_violence,ACT NO. XV OF 2020,"An Act to make provisions for raising alert, response and recovery of missing and abducted children",Uploaded by user,0
dv_023,dv_023.pdf,domestic_violence,"THE OFFENCE OF ZINA (ENFORCEMENT OF HUDOOD) ORDINANCE, 1979. [10th February, 1979]",An Ordinance to bring in conformity with the Injunctions of Islam the law relating to the offence of zina,Uploaded by user,0
dv_024,dv_024.pdf,domestic_violence,Civil Petition No. 3606 of 2025 – Farzana Yasmeen and others v. Sohail Ahmed and another (Supreme Court of Pakistan),"Supreme Court judgment concerning family law disputes involving maintenance, dowry articles, gold ornaments, and restitution of conjugal rights. The Court examined territorial jurisdiction objections in family proceedings, held that such objections must be raised at the earliest stage before the trial court, and ruled that parties cannot be non-suited at the appellate stage after a full trial where no jurisdiction issue was framed or pressed.",Uploaded by user,0
dv_025,dv_025.pdf,domestic_violence,"CPLA No. 1330-L of 2025 – Sajid Hussain v. Additional District Judge, Vehari and Others (Supreme Court of Pakistan)","Supreme Court judgment concerning recovery of dower property transferred through successive land transactions after marriage disputes. The Court examined the legal status of dower entered in a nikahnama, claims of bona fide purchase, fraudulent transfer of dowered property, and enforcement of a wife’s ownership rights over land reserved as deferred dower payable on demand.",Uploaded by user,0
dv_026,dv_026.pdf,domestic_violence,"C.P.L.A. Nos. 919-L & 1056-L of 2016 – Muhammad Amin Saqib v. Judge Family Court, Toba Tek Singh and others (Supreme Court of Pakistan)","Supreme Court order concerning enhancement of maintenance allowance for minor daughters in family proceedings. The Court examined changing financial circumstances, the Family Court’s continuing jurisdiction to modify maintenance through applications under Section 151 CPC, and remanded the matter for fresh determination of enhanced maintenance and arrears based on updated evidence of the father’s income.",Uploaded by user,0
dv_027,dv_027.pdf,domestic_violence,CPLA No. 746-L of 2025 – Muhammad Arif Tarar and another v. Matloob Ahmad Warraich and others (Supreme Court of Pakistan),"Supreme Court judgment concerning amendment of pleadings under Order VI Rule 17 CPC in a suit for specific performance based on an alleged oral agreement to sell property. The Court examined delayed amendments, procedural fairness, prejudice to the opposing party, and the limits of judicial discretion in permitting amendments after prolonged litigation and during trial proceedings.",Uploaded by user,0
Drugs_001,Drugs_001.pdf,Drug_laws,"Control of Narcotic Substances (Amendment) Ordinance, 1996 (Ordinance No. CXXV of 1996)","Amends the Control of Narcotic Substances Ordinance, 1996 to introduce new definitions (e.g., controlled delivery) and strengthen enforcement mechanisms.",Uploaded by user,1
Drugs_002,Drugs_002.pdf,Drug_laws,"Drug Regulatory Authority of Pakistan Act, 2012 (Act No. XXI of 2012)","Establishes the Drug Regulatory Authority of Pakistan (DRAP) to regulate manufacture, import, export, distribution, and sale of therapeutic goods and ensure coordination of drug laws.",Uploaded by user,1
Drugs_003,Drugs_003.pdf,Drug_laws,"Control of Narcotic Substances (Amendment) Ordinance, 2000 (Ordinance No. LXVI of 2000)","Amends the Control of Narcotic Substances Act, 1997 to update provisions relating to narcotic control and enforcement.",Uploaded by user,1
Drugs_004,Drugs_004.pdf,Drug_laws,"Anti Narcotics Force Act, 1997 (Act No. III of 1997)",Provides for the constitution and functions of the Anti Narcotics Force (ANF) to investigate narcotics-related offences and trafficking.,Uploaded by user,1
Drugs_005,Drugs_005.pdf,Drug_laws,"Anti Narcotics Force Ordinance, 1996 (Ordinance No. L of 1996)",Establishes a force for inquiry and investigation of narcotics offences prior to the 1997 Act formalization.,Uploaded by user,1
Drugs_006,Drugs_006.pdf,Drug_laws,"Constitution of Anti Narcotics Force Ordinance, 1996 (Ordinance No. CXIV of 1996)","Provides for the constitution of the Anti Narcotics Force (ANF) to investigate narcotics-related offences and trafficking, and to handle matters connected with drug control and enforcement in Pakistan.",Uploaded by user,1
Drugs_007,Drugs_007.pdf,Drug_laws,"Anti Narcotics Force Ordinance, 1996 (Ordinance No. III of 1996)","Provides for the establishment of the Anti Narcotics Force (ANF) to inquire into and investigate offences related to narcotics and drug trafficking, along with related enforcement matters across Pakistan.",Uploaded by user,1
Drugs_008,Drugs_008.pdf,Drug_laws,"Anti Narcotics Force Ordinance, 1995 (Ordinance No. LIX of 1995)","Provides for the establishment of the Anti Narcotics Force (ANF) to investigate offences related to narcotics and drug trafficking, and to handle enforcement and related matters concerning drug control in Pakistan.",Uploaded by user,1
Drugs_009,Drugs_009.pdf,Drug_laws,"Cannabis Control and Regulatory Authority Act, 2024 (Act No. XXIV of 2024)","Provides a legal framework to regulate the cultivation of cannabis plants and the extraction, refining, manufacturing, and sale of cannabis derivatives for medicinal, industrial, and related public uses in Pakistan.",Uploaded by user,1
Drugs_010,Drugs_010.pdf,Drug_laws,"Control of Narcotic Substances Act, 1997 (Act No. XXV of 1997)","Principal law consolidating and amending regulations relating to narcotic drugs and psychotropic substances, including their production, processing, trafficking, control, and the treatment and rehabilitation of addicts in Pakistan.",Uploaded by user,1
Drugs_011,Drugs_011.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1995 (Ordinance No. CXXII of 1995)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their production, processing, trafficking, and the treatment and rehabilitation of addicts in Pakistan.",Uploaded by user,1
Drugs_012,Drugs_012.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1995 (Ordinance No. LXXXIV of 1995)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their control, production, processing, trafficking, and the treatment and rehabilitation of addicts in Pakistan.",Uploaded by user,1
Drugs_013,Drugs_013.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1996 (Ordinance No. XIII of 1996)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their control, production, processing, and trafficking in Pakistan.",Uploaded by user,1
Drugs_014,Drugs_014.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1996 (Ordinance No. LIX of 1996)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their control, production, processing, trafficking, and the treatment and rehabilitation of addicts in Pakistan.",Uploaded by user,1
Drugs_015,Drugs_015.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1997 (Ordinance No. XLIII of 1997)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their control, production, processing, trafficking, and the treatment and rehabilitation of addicts, serving as an interim legal framework prior to the 1997 Act.",Uploaded by user,1
Drugs_016,Drugs_016.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1996 (Ordinance No. XCIV of 1996)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their control, production, processing, trafficking, and the treatment and rehabilitation of addicts in Pakistan.",Uploaded by user,1
Drugs_017,Drugs_017.pdf,Drug_laws,"Control of Narcotic Substances (Amendment) Act, 2022 (Act No. XX of 2022)","Amends the Control of Narcotic Substances Act, 1997 to update and strengthen the legal framework governing narcotic drugs and psychotropic substances, including expanding its scope and regulatory provisions in Pakistan.",Uploaded by user,1
Drugs_018,Drugs_018.pdf,Drug_laws,"Control of Narcotic Substances (Amendment) Act, 2020 (Act No. XXIV of 2020)","Further amends the Control of Narcotic Substances Act, 1997 to update and strengthen legal provisions related to narcotic drugs and psychotropic substances in Pakistan.",Uploaded by user,1
Drugs_019,Drugs_019.pdf,Drug_laws,"Control of Narcotic Substances (Amendment) Act, 2023 (Act No. XXXVIII of 2023)","Further amends the Control of Narcotic Substances Act, 1997 to refine and strengthen the legal and regulatory framework governing narcotic drugs and psychotropic substances in Pakistan.",Uploaded by user,1
